"isbn","title","author","publisher","price","genre","num_pages","pub_cut","stock","author_id","publisher_id"
9780755307500,"Small Island","Levy, Andrea","Headline Grp",8,"General & Literary Fiction",560,0.35,213,"35cbe823-670b-428a-9caf-41ceed0d713c","80f79363-5645-4109-b7c2-c16d1ecb1da3"
9780141030142,"The Memory Keeper's Daughter","Edwards, Kim","Penguin Grp",8,"General & Literary Fiction",432,0.3,106,"885375d3-ceea-4cf2-98df-7de9d5ddb8e2","642a633f-9f25-45bf-8af2-444abdb2c589"
9780007110926,"Billy Connolly","Stephenson, Pamela","HarperCollins Grp",9,"Biography: The Arts",432,0.2,418,"80c42907-88f4-4fec-86f2-19f07be1a17a","77e79a7a-bb2a-4b0b-a980-6446be845426"
9780330448444,"The House at Riverton","Morton, Kate","Pan Macmillan Grp",8,"General & Literary Fiction",600,0.25,213,"dc3a4323-f96b-4522-9324-7e4f70b1c9b8","ebc32fa7-545c-4157-87da-bacc0331cae1"
9780747561071,"Harry Potter and the Order of the Phoenix","Rowling, J. K.","Bloomsbury Grp",8,"Children's Fiction",768,0.35,15,"22f015e3-88bf-4609-a450-212c76dfe708","909a3f65-8ae1-4e55-a6c7-280c4248b786"
9780701181840,"Nigella Express","Lawson, Nigella","Random House Grp",25,"Food & Drink: General",400,0.3,106,"743777eb-c0d2-4fcd-bbc2-fce5373db24e","b4ce88c1-6373-41d5-bc19-c9dfc37a84ce"
9780099771517,"Memoirs of a Geisha","Golden, Arthur","Random House Grp",8,"General & Literary Fiction",512,0.2,418,"558ea0cd-0c9b-4305-92fc-9ecb70db9e28","07712aeb-4123-4714-8a97-94abfc804427"
9780563384311,"Delia's How to Cook:(Bk.2) ","Smith, Delia","Random House Grp",20,"Food & Drink: General",256,0.3,569,"2ffd7189-52d4-47eb-9ee7-db93248748fa","ab14e4a4-2067-460b-912f-75f157ba5894"
9780590112895,"The Subtle Knife:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp",7,"Young Adult Fiction",341,0.2,309,"53df661d-6ceb-4f06-863d-8cdcd6ffd94d","31b2ac43-b340-46ec-8d88-a9f4483fa841"
9780718148621,"Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours","Oliver, Jamie","Penguin Grp",25,"Food & Drink: General",360,0.25,233,"f89d3ef5-73ef-4f42-ac64-8c4b887d6c32","ff2529b3-6135-495a-aac7-dfde6e7173d9"
9781904994367,"Guinness World Records 2009:2009","Craig Glenday","Guinness Publisher Group",20,"Encyclopedias & General Reference",288,0.4,197,"f130c7d2-203c-4a12-8ca7-a9d54e0455b4","0bc88020-dad4-4a57-93b5-64aa4903ad27"
9781861978769,"Why Don't Penguins' Feet Freeze?:And 114 Other Questions","Mick O'Hare","Profile Books Group",8,"Popular Science",240,0.2,4,"1255284a-5061-4f93-b306-78893c46545a","5a4db032-418d-415b-bd95-49422514a13b"
9780718152437,"Jamie at Home:Cook Your Way to the Good Life","Oliver, Jamie","Penguin Grp",30,"Food & Drink: General",408,0.3,9,"f89d3ef5-73ef-4f42-ac64-8c4b887d6c32","c16ef800-b3cb-4565-a01d-fb31606eb7c7"
9780140276336,"White Teeth","Smith, Zadie","Penguin Grp",9,"General & Literary Fiction",480,0.4,383,"9b3bd43b-ab1d-48e6-be29-05a62f2e7b63","15c2d5ab-ce73-454f-9c02-279fe4fa5fa0"
9780007156108,"The Devil Wears Prada","Weisberger, Lauren","HarperCollins Grp",8,"General & Literary Fiction",416,0.3,528,"4c93c9b2-10fa-45f6-9554-9d0d1c37b855","221fd74b-e7e1-4209-ae9a-2586c170d3fc"
9780593059258,"At My Mother's Knee ...:and Other Low Joints","O'Grady, Paul","Transworld Grp",19,"Autobiography:  The Arts",352,0.35,443,"270ef6eb-cba4-4edf-a881-970d8ea64b8b","51139ec4-4a1f-42c4-91c7-f57fbbc49206"
9780752893686,"No Time for Goodbye","Barclay, Linwood","Orion Grp",8,"Crime, Thriller & Adventure",448,0.25,321,"d95182b0-add2-4430-afb8-8f658e81f2c6","3a8671e9-90b9-4ce2-b019-360aaa743b50"
9780007207329,"New York Post Sudoku 3: The Official Utterly Addictive Number-Placing Puzzle","Wayne Gould","HarperCollins Grp",6,"Puzzles",176,0.2,239,"f4096b69-4f01-4197-b7dd-891bcf226bb3","ab662634-33ae-432b-a322-9f6ac9574454"
9780552998482,"Chocolat","Harris, Joanne","Transworld Grp",8,"General & Literary Fiction",384,0.4,523,"a51ebeb6-853d-4484-a507-bbea31801b07","841757ad-ea9b-4a85-8143-fbcfa9518d0d"
9780718144395,"The Return of the Naked Chef","Oliver, Jamie","Penguin Grp",20,"Food & Drink: General",288,0.35,465,"f89d3ef5-73ef-4f42-ac64-8c4b887d6c32","c6f25312-98cf-4932-b308-ac2eb41d0a0f"
9780006498407,"Angela's Ashes:A Memoir of a Childhood","McCourt, Frank","HarperCollins Grp",8,"Autobiography: General",432,0.25,75,"0a28971b-61d3-4bf0-b005-92de28b01aec","1530acae-f2bc-4be1-9918-223eb21a5d96"
9780747563204,"Schott's Original Miscellany","Schott, Ben","Bloomsbury Grp",13,"Trivia & Quiz Books",160,0.2,586,"77b9641f-ecd3-4bd4-8e27-a804e76bacd3","1bf422d8-42e5-4c71-9d69-083fb0a91a7b"
9781847670946,"Dreams from My Father:A Story of Race and Inheritance","Obama, Barack","Canongate Grp",9,"Autobiography: Historical, Political & Military",464,0.4,420,"749edc28-289d-4542-b0f1-a25385f4395c","9eafee2e-52ae-4c28-a439-82bd9617487a"
9780007232741,"The Dangerous Book for Boys","Iggulden, Conn & Iggulden, Hal","HarperCollins Grp",20,"Hobbies, Pastimes & Indoor Games",304,0.4,503,"d7bf9c55-9707-4762-b191-17031e29cd20","295a9254-bbfb-4680-aa66-d569c146889f"
9780099419785,"To Kill a Mockingbird","Lee, Harper","Random House Grp",7,"General & Literary Fiction",320,0.25,309,"481ec1c2-2cbb-47ce-9e1f-3c75fc178460","81134082-51b6-46f3-b185-01c9780d2ec1"
9780747581109,"Harry Potter and the Half-blood Prince","Rowling, J. K.","Bloomsbury Grp",17,"Science Fiction & Fantasy",608,0.35,509,"22f015e3-88bf-4609-a450-212c76dfe708","730bd875-02f7-47c0-8673-47b17f0d78f8"
9780099406136,"The Summons","Grisham, John","Random House Grp",8,"Crime, Thriller & Adventure",400,0.3,82,"8a5896dd-7919-4d07-be71-0fecf31278d8","13e3b283-909f-49f0-bf8a-1235e2108540"
9780552149525,"The Lost Symbol","Brown, Dan","Transworld Grp",8,"Crime, Thriller & Adventure",672,0.4,113,"6682fd43-0e3d-4673-916b-d6840b8f83ab","97227c98-01d0-4f05-9039-c476fbad4d86"
9780140237504,"The Catcher in the Rye","Salinger, J.D.","Penguin Grp",9,"General & Literary Fiction",208,0.4,91,"7c9c0a0c-2cc0-4fc5-8255-7073db39a84f","10a12fa0-3e13-4d0e-8158-e2b79417cae6"
9780593050545,"I Can Make You Thin","McKenna, Paul","Transworld Grp",11,"Fitness & Diet",144,0.25,315,"5a47d043-38e7-4e33-a791-34d734420ac4","211edec4-77e2-4b43-8708-12ddeb767305"
9780718144845,"Happy Days with the Naked Chef","Oliver, Jamie","Penguin Grp",20,"Food & Drink: General",320,0.4,329,"f89d3ef5-73ef-4f42-ac64-8c4b887d6c32","921f3c96-811f-4227-8953-e648aa97fab7"
9780552771153,"Brick Lane","Ali, Monica","Transworld Grp",8,"General & Literary Fiction",496,0.25,97,"eb42bcbe-a606-4929-9faa-e698d369838f","f619042f-afec-46ed-9fff-e3289225b790"
9780141019376,"Anybody Out There?","Keyes, Marian","Penguin Grp",8,"General & Literary Fiction",608,0.4,239,"930cfe46-338c-4c2e-94e7-9447f9afad54","a2e4713a-be58-4633-b8f8-19d57247324b"
9780552772747,"The Undomestic Goddess","Kinsella, Sophie","Transworld Grp",8,"General & Literary Fiction",416,0.4,212,"ef7fc14e-b17e-43f0-91ff-91c43393827e","2a35febc-443c-45d0-9eb9-1f5e1a2fad6a"
9780552773898,"The Book Thief","Zusak, Markus","Transworld Grp",8,"General & Literary Fiction",560,0.3,53,"2e8f5d25-41d3-447f-93bd-4935b11c8772","7d31c9ef-d617-437a-be8f-f6760e12ffa7"
9780141022925,"I Know You Got Soul","Clarkson, Jeremy","Penguin Grp",8,"Transport: General",288,0.25,131,"c4f7ad8f-8ba4-4008-883f-0c362d83cc81","5da77214-fde2-4a53-abe1-5e90485e7da7"
9780316731317,"Sharon Osbourne Extreme:My Autobiography","Osbourne, Sharon","Little, Brown Book Grp",19,"Autobiography:  The Arts",384,0.25,419,"2730182d-d044-45db-b6a6-f1e28527702d","b0c214c2-5b4e-4263-87e4-193717f609f7"
9781904994497,"Guinness World Records 2010","Craig Glenday","Guinness Publisher Group",20,"Encyclopedias & General Reference",287,0.4,167,"f130c7d2-203c-4a12-8ca7-a9d54e0455b4","870ce620-a7fb-45d8-843d-d8e7054202ae"
9780439993586,"The Amber Spyglass:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp",7,"Young Adult Fiction",560,0.3,262,"53df661d-6ceb-4f06-863d-8cdcd6ffd94d","9f03194b-e7af-4abb-86cd-cc901036fdb3"
9780552771108,"Can You Keep a Secret?","Kinsella, Sophie","Transworld Grp",8,"General & Literary Fiction",384,0.2,255,"ef7fc14e-b17e-43f0-91ff-91c43393827e","762be795-49bf-43a5-b0dd-4f63c0160ffe"
9780552997034,"Down Under","Bryson, Bill","Transworld Grp",9,"Travel Writing",432,0.3,529,"70ba4af2-60c3-4774-93f0-ad136eae2569","4983a49b-8197-40b6-9693-9f64f77296dd"
9780099506928,"Spot of Bother,A","Haddon, Mark","Random House Grp",8,"General & Literary Fiction",512,0.2,208,"315cf9e5-023a-4eec-8514-41208a215281","b9b478f5-5b07-4342-8238-538961d6e495"
9781846053443,"Dear Fatty","French, Dawn","Random House Grp",19,"Autobiography:  The Arts",384,0.3,569,"a03eb5cd-9683-47f1-b80b-1138d3a73826","f8b076aa-1b07-4659-8c1a-28b85f906a5c"
