"","isbn","title","author","publisher","price","genre"
"83","9780099406136","The Summons","Grisham, John","Random House Grp","8","Crime, Thriller & Adventure"
"84","9780552149525","The Lost Symbol","Brown, Dan","Transworld Grp","8","Crime, Thriller & Adventure"
"85","9780140237504","The Catcher in the Rye","Salinger, J.D.","Penguin Grp","9","General & Literary Fiction"
"86","9780593050545","I Can Make You Thin","McKenna, Paul","Transworld Grp","11","Fitness & Diet"
"87","9780718144845","Happy Days with the Naked Chef","Oliver, Jamie","Penguin Grp","20","Food & Drink: General"
"88","9780552771153","Brick Lane","Ali, Monica","Transworld Grp","8","General & Literary Fiction"
"89","9780141019376","Anybody Out There?","Keyes, Marian","Penguin Grp","8","General & Literary Fiction"
"90","9780552772747","The Undomestic Goddess","Kinsella, Sophie","Transworld Grp","8","General & Literary Fiction"
"91","9780552773898","The Book Thief","Zusak, Markus","Transworld Grp","8","General & Literary Fiction"
"92","9780141022925","I Know You Got Soul","Clarkson, Jeremy","Penguin Grp","8","Transport: General"
"93","9780316731317","Sharon Osbourne Extreme:My Autobiography","Osbourne, Sharon","Little, Brown Book Grp","19","Autobiography:  The Arts"
"94","9781904994497","Guinness World Records 2010","","Guinness Publisher Group","20","Encyclopedias & General Reference"
"95","9780439993586","The Amber Spyglass:His Dark Materials S.","Pullman, Philip","Scholastic Ltd. Grp","7","Young Adult Fiction"
"96","9780552771108","Can You Keep a Secret?","Kinsella, Sophie","Transworld Grp","8","General & Literary Fiction"
"97","9780552997034","Down Under","Bryson, Bill","Transworld Grp","9","Travel Writing"
"98","9780099506928","Spot of Bother,A","Haddon, Mark","Random House Grp","8","General & Literary Fiction"
"99","9781846053443","Dear Fatty","French, Dawn","Random House Grp","19","Autobiography:  The Arts"
